"Bulk SMS :)","Bulk SMS :)"
"Send Custom SMS","Send Custom SMS"
"Edit Entry '%1'","Edit Entry '%1'"
"New Entry","New Entry"
"Save Entry","Save Entry"
"Save and Continue Edit","Save and Continue Edit"
"Delete Entry","Delete Entry"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Entry Settings","Entry Settings"
"Entry Information","Entry Information"
Name,Name
Mobile,Mobile
"Phonebook Information","Phonebook Information"
"Verify Mobile Number","Verify Mobile Number"
"Send Bulk SMS","Send Bulk SMS"
"This entry no longer exists.","This entry no longer exists."
"Edit Entry","Edit Entry"
Magecomp,Magecomp
"Manage Entry","Manage Entry"
"Magecomp Smspro","Magecomp Smspro"
Phonebook,Phonebook
"A total of %1 Phone Number(s) have been deleted.","A total of %1 Phone Number(s) have been deleted."
"This store is no longer available.","This store is no longer available."
"Phonebook Record Edited Succssfully.","Phonebook Record Edited Succssfully."
"'Something went wrong while saving the store information.' .","'Something went wrong while saving the store information.' ."
"Mobile Verification","Mobile Verification"
"Mobile Number & OTP Required For Verification.","Mobile Number & OTP Required For Verification."
"Invalid OTP.","Invalid OTP."
"Your Mobile Number is Already Verified.","Your Mobile Number is Already Verified."
"SMS Gateway haven't configured yet.","SMS Gateway haven't configured yet."
"Please, Make Sure You have Configured SMS Gateway Properly.","Please, Make Sure You have Configured SMS Gateway Properly."
"You have uploaded an invalid file type, Upload only csv file.","You have uploaded an invalid file type, Upload only csv file."
"Please correct csv File Format.","Please correct csv File Format."
"By IP","By IP"
"Selected Country","Selected Country"
Numeric,Numeric
"Alpha Numeric","Alpha Numeric"
"NOT LOGGED IN","NOT LOGGED IN"
"ReSend SMS","ReSend SMS"
"Send Tracking SMS","Send Tracking SMS"
Edit,Edit
Delete,Delete
"Are you sure you want to delete a this record?","Are you sure you want to delete a this record?"
"Import Numbers From","Import Numbers From"
"Default Customers","Default Customers"
"Mobile Numbers","Mobile Numbers"
"SMS Text","SMS Text"
" Note : "," Note : "
" -- Import Customer Number : This will import phone numbers from Customer's Account. "," -- Import Customer Number : This will import phone numbers from Customer's Account. "
" -- Phonebook: You can import CSV from configuration and see phonebook grid menu, that data will be imported here. "," -- Phonebook: You can import CSV from configuration and see phonebook grid menu, that data will be imported here. "
"Mobile Number","Mobile Number"
"DLT Template ID","DLT Template ID"
"Payment &amp; Shipping Method","Payment &amp; Shipping Method"
"Payment Information","Payment Information"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","Shipping Information"
"Total Shipping Charges","Total Shipping Charges"
"Incl. Tax","Incl. Tax"
"Items Invoiced","Items Invoiced"
"Order Total","Order Total"
"invoice History","invoice History"
"invoice Totals","invoice Totals"
"Send Customize Shipment SMS","Send Customize Shipment SMS"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Track this shipment","Track this shipment"
"Items Shipped","Items Shipped"
"Shipment History","Shipment History"
"* Required Fields","* Required Fields"
"Enter Number With Country code & without any sign. e.g:-(91xxxxxxx09)","Enter Number With Country code & without any sign. e.g:-(91xxxxxxx09)"
otp,otp
"Get OTP","Get OTP"
"Resend OTP","Resend OTP"
"Please verify your Mobile Number before proceeding to checkout.","Please verify your Mobile Number before proceeding to checkout."
"Proceed to Checkout","Proceed to Checkout"
"Please, First Enter Your Mobile Number.","Please, First Enter Your Mobile Number."
"Please, Enter Valid Mobile Number.","Please, Enter Valid Mobile Number."
"Something Went Wrong, Try Again Later.","Something Went Wrong, Try Again Later."
"Please, Enter OTP.","Please, Enter OTP."
"Your Mobile Number is Verified Successfully! Now You Can Proceed to Checkout.","Your Mobile Number is Verified Successfully! Now You Can Proceed to Checkout."
"Additional Information","Additional Information"
mobilenumber,mobilenumber
"This is a required field.","This is a required field."
"Your Mobile Number Should Be Between ' . . ' & ' . . '.","Your Mobile Number Should Be Between ' . . ' & ' . . '."
"Something went wrong, Try again later.","Something went wrong, Try again later."
"'Your Existing Verified Mobile Number is : ' .","'Your Existing Verified Mobile Number is : ' ."
"Please Enter OTP.","Please Enter OTP."
"Your Mobile Number is Verified Successfully!","Your Mobile Number is Verified Successfully!"
"Verified mobile number successfully","Verified mobile number successfully"
"Invalid OTP","Invalid OTP"
"Unable to send OTP","Unable to send OTP"
"OTP send successfully","OTP send successfully"
"Check Number Should be With Country Code Without + Sign For Example 919876543210","Check Number Should be With Country Code Without + Sign For Example 919876543210"
"Verify OTP","Verify OTP"
"Order Verification","Order Verification"
Verify,Verify
Resend,Resend
"Magecomp SMS Pro","Magecomp SMS Pro"
"Bulk SMS","Bulk SMS"
"SMS Configuration","SMS Configuration"
"Import Phonebook","Import Phonebook"
"Payment Methods","Payment Methods"
"Customer Groups","Customer Groups"
"Add New Phone","Add New Phone"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
